Serial Number,Product Category,Product Name,Platform,Launch Price,Current Price,Discount Percentage,Ratings,Reviews Count,Stock Status,Sale Event,Condition,Date,Color,RAM,Storage
33,AirPods,AirPods 2,Amazon,260559,258633,0.74,4.9,42727,Out of Stock,Diwali Sale,New,2023-03-24,Purple,16GB,128GB
34,AirPods,AirPods 2,Croma,343212,250045,27.15,4.3,41222,In Stock,Great Indian Festival,Refurbished,2023-10-20,Blue,16GB,512GB
35,AirPods,AirPods 2,Reliance Digital,76151,72098,5.32,4.5,9309,Out of Stock,No Sale,Refurbished,2024-08-13,Silver,6GB,1TB
36,AirPods,AirPods 2,Flipkart,294418,283088,3.85,4.0,7017,Out of Stock,Republic Day Sale,Refurbished,2025-11-09,White,6GB,1TB
37,AirPods,AirPods 2,Amazon,321485,226654,29.5,4.2,37049,In Stock,No Sale,Refurbished,2023-11-22,Blue,8GB,128GB
38,AirPods,AirPods 2,Reliance Digital,223374,212831,4.72,4.0,31163,In Stock,No Sale,Refurbished,2026-03-23,Pink,8GB,256GB
39,AirPods,AirPods 2,Amazon,327138,319953,2.2,4.7,41716,Low Stock,Diwali Sale,Refurbished,2025-12-01,Pink,6GB,1TB
40,AirPods,AirPods 2,Flipkart,18986,17695,6.8,5.0,38657,Out of Stock,Great Indian Festival,New,2025-10-08,Titanium,24GB,512GB
41,AirPods,AirPods 2,Flipkart,15533,13837,10.91,4.5,26265,Pre-order,Republic Day Sale,New,2026-10-30,Gold,36GB,512GB
42,AirPods,AirPods 2,Croma,49013,35437,27.7,4.3,42862,Low Stock,Big Billion Days,New,2026-01-17,Space Gray,8GB,128GB
43,AirPods,AirPods 2,Amazon,324401,295228,8.99,4.3,41907,In Stock,Diwali Sale,Refurbished,2025-08-30,Midnight,36GB,256GB
44,AirPods,AirPods 2,Flipkart,212490,210978,0.71,4.7,5817,Low Stock,Republic Day Sale,Refurbished,2026-12-20,Midnight,4GB,512GB
45,AirPods,AirPods 2,Reliance Digital,172648,134758,21.95,4.0,12418,In Stock,Great Indian Festival,New,2026-01-14,Midnight,16GB,512GB
46,AirPods,AirPods 2,Croma,252868,229624,9.19,4.8,24804,Out of Stock,Republic Day Sale,New,2023-05-04,Black,16GB,512GB
47,AirPods,AirPods 2,Croma,236773,229271,3.17,4.5,43801,Out of Stock,Republic Day Sale,Refurbished,2024-10-01,White,8GB,1TB
48,AirPods,AirPods 2,Croma,341495,296179,13.27,4.2,26657,Low Stock,No Sale,Refurbished,2023-08-23,Gold,24GB,256GB
49,AirPods,AirPods 2,Croma,59067,49795,15.7,4.3,1567,Pre-order,Great Indian Festival,New,2024-01-04,Space Gray,24GB,1TB
50,AirPods,AirPods 2,Flipkart,141621,109914,22.39,4.8,38805,Pre-order,Diwali Sale,New,2025-04-26,Silver,24GB,512GB
51,AirPods,AirPods 2,Reliance Digital,190090,159061,16.32,4.0,44180,Pre-order,No Sale,New,2023-05-30,Pink,4GB,1TB
52,AirPods,AirPods 2,Reliance Digital,308298,272876,11.49,5.0,17842,Pre-order,Republic Day Sale,Refurbished,2024-09-24,Purple,24GB,512GB
53,AirPods,AirPods 2,Reliance Digital,219405,158438,27.79,4.3,28613,In Stock,Big Billion Days,Refurbished,2023-10-28,Black,4GB,1TB
54,AirPods,AirPods 2,Croma,272084,255618,6.05,4.2,39092,In Stock,Republic Day Sale,New,2024-08-12,Green,16GB,256GB
55,AirPods,AirPods 2,Amazon,70329,69672,0.93,4.8,29701,Out of Stock,Big Billion Days,New,2023-09-20,Blue,24GB,256GB
56,AirPods,AirPods 2,Amazon,130109,120514,7.37,4.6,28744,Low Stock,Diwali Sale,New,2024-11-27,White,6GB,512GB
57,AirPods,AirPods 2,Flipkart,193749,172388,11.03,4.0,29040,Out of Stock,Republic Day Sale,Refurbished,2026-10-06,Green,6GB,256GB
58,AirPods,AirPods 2,Croma,173737,154763,10.92,4.9,49337,Low Stock,Big Billion Days,New,2025-05-22,Gold,24GB,128GB
59,AirPods,AirPods 2,Reliance Digital,214808,196351,8.59,4.6,44649,Pre-order,Republic Day Sale,New,2024-03-26,Pink,24GB,256GB
60,AirPods,AirPods 2,Croma,87249,74676,14.41,4.9,41464,Out of Stock,No Sale,Refurbished,2025-05-10,Titanium,6GB,1TB
61,AirPods,AirPods 2,Flipkart,58322,51386,11.89,4.5,28408,Low Stock,Great Indian Festival,New,2024-09-18,Green,4GB,1TB
62,AirPods,AirPods 2,Reliance Digital,83101,68713,17.31,4.0,29782,Pre-order,Republic Day Sale,New,2023-12-11,Midnight,24GB,1TB
63,AirPods,AirPods 2,Reliance Digital,258275,205660,20.37,4.8,3442,In Stock,Great Indian Festival,Refurbished,2026-03-17,White,4GB,128GB
64,AirPods,AirPods 2,Croma,291048,225838,22.4,4.2,13610,Pre-order,Diwali Sale,New,2026-10-13,Blue,4GB,128GB
65,AirPods,AirPods 2,Flipkart,104211,92781,10.97,4.4,11071,Out of Stock,Big Billion Days,New,2025-08-13,Green,8GB,512GB
66,AirPods,AirPods 2,Reliance Digital,74442,73764,0.91,4.8,12992,In Stock,Republic Day Sale,New,2025-06-06,Gold,4GB,512GB
67,AirPods,AirPods 2,Croma,241716,213591,11.64,4.1,5412,Pre-order,Republic Day Sale,Refurbished,2026-11-24,Green,16GB,128GB
68,AirPods,AirPods 2,Amazon,238325,233622,1.97,4.8,21372,Out of Stock,Great Indian Festival,New,2024-02-06,Blue,6GB,128GB
69,AirPods,AirPods 2,Croma,33690,31362,6.91,4.1,5087,In Stock,Diwali Sale,Refurbished,2025-08-23,White,4GB,1TB
70,AirPods,AirPods 2,Croma,49912,41626,16.6,4.1,1385,Pre-order,No Sale,New,2026-09-11,Space Gray,8GB,128GB
71,AirPods,AirPods 2,Reliance Digital,206526,182961,11.41,5.0,28909,Low Stock,No Sale,Refurbished,2026-09-11,Black,36GB,1TB
72,AirPods,AirPods 2,Reliance Digital,136076,129246,5.02,4.9,16040,Low Stock,Great Indian Festival,New,2026-06-10,Silver,16GB,512GB
73,AirPods,AirPods 2,Reliance Digital,18914,17260,8.74,4.9,4367,Out of Stock,Republic Day Sale,Refurbished,2025-12-03,Silver,4GB,128GB
74,AirPods,AirPods 2,Reliance Digital,163739,115248,29.61,4.4,39926,Pre-order,No Sale,New,2026-11-04,Blue,4GB,128GB
75,AirPods,AirPods 2,Croma,238538,195829,17.9,4.5,29841,Out of Stock,Republic Day Sale,Refurbished,2024-06-03,Blue,4GB,128GB
76,AirPods,AirPods 2,Amazon,144937,110509,23.75,5.0,8702,Pre-order,Republic Day Sale,Refurbished,2023-12-01,Gold,16GB,512GB
77,AirPods,AirPods 2,Croma,76159,69684,8.5,4.7,36745,In Stock,No Sale,Refurbished,2024-03-28,Purple,4GB,512GB
78,AirPods,AirPods 2,Flipkart,29687,25101,15.45,4.3,31365,Low Stock,Diwali Sale,New,2024-05-26,Midnight,8GB,512GB
79,AirPods,AirPods 2,Croma,264725,264701,0.01,5.0,21581,Out of Stock,Big Billion Days,New,2023-05-11,Pink,16GB,128GB
80,AirPods,AirPods 2,Amazon,15375,15296,0.51,4.0,17345,Pre-order,Diwali Sale,New,2025-05-11,Space Gray,24GB,256GB
81,AirPods,AirPods 2,Reliance Digital,110713,86972,21.44,4.4,23941,Low Stock,Republic Day Sale,New,2025-05-30,Pink,8GB,512GB
82,AirPods,AirPods 2,Amazon,250705,249894,0.32,4.0,43290,In Stock,Big Billion Days,Refurbished,2023-03-20,Space Gray,4GB,1TB
83,AirPods,AirPods 2,Reliance Digital,61705,54521,11.64,4.7,2687,Low Stock,Republic Day Sale,New,2023-03-11,Pink,6GB,1TB
84,AirPods,AirPods 2,Reliance Digital,245979,229831,6.56,4.1,46677,Out of Stock,No Sale,Refurbished,2025-01-09,Midnight,8GB,1TB
85,AirPods,AirPods 2,Croma,245586,203484,17.14,4.4,43454,Pre-order,No Sale,Refurbished,2024-11-21,Green,8GB,256GB
86,AirPods,AirPods 2,Amazon,322467,235357,27.01,4.8,8118,Low Stock,Big Billion Days,Refurbished,2026-08-25,Pink,24GB,1TB
87,AirPods,AirPods 2,Amazon,264924,231365,12.67,4.1,13358,Out of Stock,No Sale,New,2024-01-25,Purple,24GB,128GB
88,AirPods,AirPods 2,Amazon,169754,144738,14.74,4.3,45469,In Stock,Great Indian Festival,New,2025-06-11,Space Gray,4GB,1TB
89,AirPods,AirPods 2,Reliance Digital,107274,89661,16.42,5.0,17038,In Stock,Diwali Sale,New,2024-09-26,Green,6GB,128GB
90,AirPods,AirPods 2,Croma,35098,33772,3.78,4.9,15523,Pre-order,Big Billion Days,Refurbished,2024-05-27,Titanium,36GB,1TB
91,AirPods,AirPods 2,Croma,91169,81972,10.09,4.6,46014,Pre-order,Republic Day Sale,Refurbished,2024-02-13,White,6GB,512GB
92,AirPods,AirPods 2,Flipkart,259630,255717,1.51,4.3,32755,Pre-order,Republic Day Sale,Refurbished,2026-01-09,Silver,36GB,512GB
93,AirPods,AirPods 2,Croma,146009,112556,22.91,4.6,25549,Out of Stock,Republic Day Sale,New,2025-10-19,Titanium,36GB,1TB
94,AirPods,AirPods 2,Flipkart,127370,109711,13.86,4.4,39312,In Stock,Big Billion Days,Refurbished,2026-04-26,Pink,6GB,1TB
95,AirPods,AirPods 2,Croma,143742,117511,18.25,4.3,43409,In Stock,Diwali Sale,New,2023-02-09,Purple,24GB,512GB
96,AirPods,AirPods 2,Amazon,216244,185077,14.41,4.4,23674,In Stock,Republic Day Sale,Refurbished,2023-03-26,Pink,36GB,512GB
97,AirPods,AirPods 2,Croma,331641,247579,25.35,4.6,35336,Low Stock,No Sale,Refurbished,2024-01-25,Silver,8GB,512GB
98,AirPods,AirPods 2,Croma,161536,117745,27.11,4.6,20612,In Stock,Republic Day Sale,New,2026-05-03,Midnight,36GB,128GB
99,AirPods,AirPods 2,Croma,201575,176222,12.58,4.7,4263,In Stock,Big Billion Days,New,2026-03-26,Blue,6GB,256GB
100,AirPods,AirPods 2,Reliance Digital,98848,80310,18.75,4.5,47361,Low Stock,Diwali Sale,New,2023-09-20,Midnight,4GB,128GB
101,AirPods,AirPods 2,Reliance Digital,29403,26127,11.14,4.5,21860,Low Stock,Great Indian Festival,Refurbished,2023-11-23,Blue,24GB,512GB
102,AirPods,AirPods 2,Flipkart,45735,36178,20.9,4.5,36132,Out of Stock,No Sale,New,2023-02-13,Gold,4GB,128GB
103,AirPods,AirPods 2,Croma,150679,132627,11.98,4.6,45526,Low Stock,Republic Day Sale,New,2023-07-13,Purple,4GB,512GB
104,AirPods,AirPods 2,Amazon,85374,73701,13.67,4.3,33458,Pre-order,Big Billion Days,New,2025-01-14,Blue,16GB,128GB
105,AirPods,AirPods 2,Reliance Digital,43119,33702,21.84,4.7,26183,Out of Stock,No Sale,Refurbished,2024-08-13,Space Gray,8GB,128GB
106,AirPods,AirPods 2,Croma,172372,121670,29.41,4.5,47580,Low Stock,Diwali Sale,New,2025-09-08,Titanium,4GB,256GB
107,AirPods,AirPods 2,Reliance Digital,305606,299452,2.01,4.7,38346,Pre-order,Diwali Sale,Refurbished,2026-12-23,Pink,4GB,256GB
108,AirPods,AirPods 2,Reliance Digital,316722,286708,9.48,4.1,4198,In Stock,Republic Day Sale,New,2025-11-15,Purple,4GB,128GB
109,AirPods,AirPods 2,Amazon,19264,16932,12.1,4.0,2010,Pre-order,Diwali Sale,New,2026-06-04,Silver,4GB,256GB
110,AirPods,AirPods 2,Reliance Digital,24332,22928,5.77,4.2,12482,Low Stock,No Sale,Refurbished,2024-01-15,Pink,16GB,128GB
111,AirPods,AirPods 2,Croma,154200,112025,27.35,4.1,34548,Out of Stock,Diwali Sale,Refurbished,2026-04-04,White,36GB,128GB
112,AirPods,AirPods 2,Croma,228986,208701,8.86,4.7,27069,Out of Stock,Diwali Sale,New,2023-02-23,Blue,8GB,128GB
113,AirPods,AirPods 2,Reliance Digital,137340,99994,27.19,4.1,29176,Pre-order,Great Indian Festival,Refurbished,2023-11-14,Black,36GB,256GB
114,AirPods,AirPods 2,Flipkart,188918,148514,21.39,4.4,45842,Out of Stock,No Sale,Refurbished,2023-09-29,Black,8GB,128GB
115,AirPods,AirPods 2,Flipkart,194651,193856,0.41,4.5,34662,Pre-order,Great Indian Festival,New,2026-10-16,Green,24GB,256GB
116,AirPods,AirPods 2,Reliance Digital,74185,63179,14.83,4.3,39925,Pre-order,Diwali Sale,New,2024-05-14,White,36GB,512GB
117,AirPods,AirPods 2,Amazon,71708,64720,9.74,4.0,10307,Out of Stock,Big Billion Days,Refurbished,2023-09-11,Gold,4GB,1TB
118,AirPods,AirPods 2,Amazon,216168,187568,13.23,4.4,20995,In Stock,No Sale,Refurbished,2026-02-13,Purple,6GB,128GB
119,AirPods,AirPods 2,Reliance Digital,175894,137298,21.94,4.4,41499,Pre-order,Diwali Sale,New,2025-12-24,Green,6GB,128GB
120,AirPods,AirPods 2,Amazon,149892,117088,21.88,4.1,31119,In Stock,Great Indian Festival,Refurbished,2023-11-18,Black,8GB,256GB
121,AirPods,AirPods 2,Amazon,233359,231247,0.9,4.1,35816,Low Stock,Great Indian Festival,Refurbished,2024-04-21,Black,16GB,128GB
122,AirPods,AirPods 3,Amazon,68147,66444,2.5,4.7,25032,In Stock,No Sale,Refurbished,2026-07-28,Titanium,4GB,128GB
123,AirPods,AirPods 3,Flipkart,234832,220978,5.9,4.9,39913,Pre-order,Republic Day Sale,New,2026-01-01,White,4GB,256GB
124,AirPods,AirPods 3,Amazon,273732,216190,21.02,4.4,35269,Pre-order,Big Billion Days,Refurbished,2026-03-09,Black,8GB,256GB
125,AirPods,AirPods 3,Amazon,71291,65114,8.66,4.5,13844,Low Stock,No Sale,New,2023-05-05,Black,24GB,1TB
126,AirPods,AirPods 3,Croma,200544,200087,0.23,4.6,23022,Pre-order,Republic Day Sale,Refurbished,2026-02-07,Silver,16GB,128GB
127,AirPods,AirPods 3,Reliance Digital,159706,121833,23.71,4.5,5600,Low Stock,No Sale,New,2023-05-13,Silver,24GB,128GB
128,AirPods,AirPods 3,Croma,72660,51388,29.28,4.8,44316,In Stock,Great Indian Festival,New,2025-02-09,White,16GB,128GB
129,AirPods,AirPods 3,Flipkart,175200,125777,28.21,4.0,28005,Pre-order,No Sale,Refurbished,2023-04-26,Space Gray,24GB,128GB
130,AirPods,AirPods 3,Croma,140942,110493,21.6,4.3,24592,In Stock,Diwali Sale,Refurbished,2024-09-06,Black,36GB,256GB
131,AirPods,AirPods 3,Amazon,281995,272059,3.52,4.4,39620,Out of Stock,Diwali Sale,New,2026-11-27,White,24GB,128GB
132,AirPods,AirPods 3,Flipkart,71045,56498,20.48,4.7,18210,In Stock,No Sale,New,2025-02-27,Pink,6GB,256GB
133,AirPods,AirPods 3,Reliance Digital,110263,96789,12.22,4.4,16158,Pre-order,Republic Day Sale,New,2024-05-21,Black,4GB,512GB
134,AirPods,AirPods 3,Amazon,144748,108610,24.97,4.8,32532,In Stock,Republic Day Sale,New,2025-09-19,Pink,6GB,256GB
135,AirPods,AirPods 3,Reliance Digital,46566,37816,18.79,4.2,7348,Out of Stock,Diwali Sale,Refurbished,2026-11-23,Green,16GB,256GB
136,AirPods,AirPods 3,Amazon,146745,137628,6.21,4.5,3106,Pre-order,Great Indian Festival,New,2023-08-30,Blue,36GB,128GB
137,AirPods,AirPods 3,Reliance Digital,348295,250195,28.17,4.0,22298,Out of Stock,Great Indian Festival,New,2024-01-02,Purple,4GB,256GB
138,AirPods,AirPods 3,Croma,61900,50369,18.63,4.1,39158,Pre-order,No Sale,New,2025-04-10,Titanium,6GB,1TB
139,AirPods,AirPods 3,Flipkart,29078,21054,27.59,4.2,40108,Low Stock,Big Billion Days,New,2024-03-18,Green,16GB,128GB
140,AirPods,AirPods 3,Flipkart,251992,180143,28.51,4.8,35229,Out of Stock,Big Billion Days,New,2023-04-20,White,16GB,512GB
141,AirPods,AirPods 3,Amazon,156530,151969,2.91,4.8,16755,In Stock,Diwali Sale,New,2025-01-05,Silver,8GB,1TB
142,AirPods,AirPods 3,Flipkart,254850,223797,12.18,4.9,8548,Pre-order,Great Indian Festival,Refurbished,2023-03-18,Blue,16GB,512GB
143,AirPods,AirPods 3,Reliance Digital,33901,27962,17.52,4.8,23446,Pre-order,Big Billion Days,Refurbished,2025-04-05,Pink,36GB,128GB
144,AirPods,AirPods 3,Flipkart,335160,292032,12.87,4.4,35684,In Stock,Republic Day Sale,Refurbished,2025-06-08,Space Gray,16GB,512GB
145,AirPods,AirPods 3,Amazon,144229,138380,4.06,4.2,8658,Low Stock,Diwali Sale,Refurbished,2025-06-09,Space Gray,6GB,1TB
146,AirPods,AirPods 3,Flipkart,11143,8394,24.67,4.8,22068,Out of Stock,Big Billion Days,New,2025-03-19,White,24GB,256GB
147,AirPods,AirPods 3,Reliance Digital,322205,248979,22.73,5.0,24244,Out of Stock,Great Indian Festival,New,2024-09-09,Midnight,6GB,128GB
148,AirPods,AirPods 3,Flipkart,132715,122890,7.4,4.6,12912,In Stock,Republic Day Sale,Refurbished,2024-09-30,Black,16GB,512GB
149,AirPods,AirPods 3,Croma,51118,45884,10.24,4.5,30304,Out of Stock,Republic Day Sale,New,2025-08-23,Purple,36GB,256GB
150,AirPods,AirPods 3,Amazon,176250,161736,8.23,4.5,31521,In Stock,No Sale,Refurbished,2023-01-06,Silver,24GB,1TB
151,AirPods,AirPods 3,Reliance Digital,198185,155962,21.3,4.1,35635,Out of Stock,No Sale,New,2023-01-01,Space Gray,6GB,512GB
152,AirPods,AirPods 3,Flipkart,178314,142103,20.31,4.0,16901,In Stock,No Sale,New,2023-02-19,Green,24GB,256GB
153,AirPods,AirPods 3,Flipkart,160226,149803,6.5,4.9,26721,Pre-order,Big Billion Days,Refurbished,2025-02-07,White,16GB,256GB
154,AirPods,AirPods 3,Reliance Digital,165165,156009,5.54,4.9,23230,Out of Stock,Diwali Sale,New,2024-08-16,Purple,8GB,128GB
155,AirPods,AirPods 3,Flipkart,238143,194109,18.49,4.3,20939,Low Stock,Diwali Sale,Refurbished,2024-03-09,Pink,24GB,1TB
156,AirPods,AirPods 3,Croma,167967,144602,13.91,4.5,48989,Low Stock,Diwali Sale,Refurbished,2026-10-03,Black,36GB,128GB
157,AirPods,AirPods 3,Amazon,221788,194689,12.22,4.3,6054,Pre-order,No Sale,Refurbished,2024-01-17,Blue,4GB,256GB
158,AirPods,AirPods 3,Reliance Digital,156902,128450,18.13,4.9,39801,Pre-order,Great Indian Festival,Refurbished,2023-09-22,White,4GB,256GB
159,AirPods,AirPods 3,Croma,243707,188036,22.84,4.7,49446,Out of Stock,Diwali Sale,Refurbished,2024-04-20,Titanium,4GB,128GB
160,AirPods,AirPods 3,Flipkart,36450,33613,7.78,4.4,45612,In Stock,No Sale,Refurbished,2023-12-07,Silver,6GB,1TB
161,AirPods,AirPods 3,Reliance Digital,343359,247087,28.04,4.7,5183,Out of Stock,Republic Day Sale,New,2025-05-31,Midnight,6GB,1TB
162,AirPods,AirPods 3,Reliance Digital,171949,171360,0.34,4.8,40491,Out of Stock,Big Billion Days,Refurbished,2024-05-07,Black,16GB,1TB
163,AirPods,AirPods 3,Croma,278213,212813,23.51,4.8,9699,Low Stock,No Sale,New,2026-04-11,Pink,8GB,1TB
164,AirPods,AirPods 3,Flipkart,282182,263807,6.51,4.9,21426,Out of Stock,Diwali Sale,New,2025-09-04,White,4GB,1TB
165,AirPods,AirPods 3,Amazon,149483,127487,14.71,4.5,20158,In Stock,Republic Day Sale,New,2026-09-03,Purple,6GB,512GB
166,AirPods,AirPods 3,Flipkart,214146,175186,18.19,4.5,842,In Stock,No Sale,New,2025-04-07,Silver,36GB,1TB
167,AirPods,AirPods 3,Croma,131677,120158,8.75,4.0,13644,In Stock,Big Billion Days,New,2026-11-22,Space Gray,6GB,1TB
168,AirPods,AirPods 3,Croma,221199,159341,27.96,4.4,42266,In Stock,Great Indian Festival,Refurbished,2025-12-01,Gold,16GB,512GB
169,AirPods,AirPods 3,Reliance Digital,265872,246672,7.22,4.6,14375,Pre-order,Great Indian Festival,New,2026-08-14,White,4GB,256GB
170,AirPods,AirPods 3,Croma,43225,41380,4.27,4.1,28424,In Stock,Big Billion Days,New,2024-06-14,Pink,24GB,256GB
171,AirPods,AirPods 3,Flipkart,149254,143045,4.16,4.7,15398,In Stock,No Sale,Refurbished,2023-08-28,Midnight,8GB,128GB
172,AirPods,AirPods 3,Amazon,319475,238530,25.34,5.0,20966,In Stock,Republic Day Sale,New,2026-09-28,Green,36GB,1TB
173,AirPods,AirPods 3,Reliance Digital,122110,108867,10.84,4.4,14881,Out of Stock,No Sale,New,2024-10-18,Pink,16GB,1TB
174,AirPods,AirPods 3,Amazon,273029,269510,1.29,4.5,47549,Pre-order,No Sale,New,2025-11-19,Midnight,24GB,512GB
175,AirPods,AirPods 3,Croma,218381,156969,28.12,4.6,15725,In Stock,Big Billion Days,Refurbished,2025-08-16,Space Gray,6GB,512GB
176,AirPods,AirPods 3,Croma,109636,85087,22.39,5.0,22372,In Stock,Diwali Sale,Refurbished,2025-03-01,White,24GB,512GB
177,AirPods,AirPods 3,Flipkart,93387,73979,20.78,4.5,34162,Out of Stock,Republic Day Sale,Refurbished,2025-09-10,Black,4GB,256GB
178,AirPods,AirPods 3,Croma,259417,228888,11.77,4.4,24013,In Stock,Big Billion Days,New,2025-03-31,Purple,6GB,256GB
179,AirPods,AirPods 3,Flipkart,233516,225465,3.45,4.1,16470,Out of Stock,Republic Day Sale,Refurbished,2025-04-22,Green,24GB,128GB
180,AirPods,AirPods 3,Reliance Digital,307759,235523,23.47,4.6,1645,Out of Stock,No Sale,New,2026-05-24,White,36GB,512GB
181,AirPods,AirPods 3,Croma,138779,135752,2.18,4.7,42784,Low Stock,Republic Day Sale,Refurbished,2024-08-22,Midnight,4GB,1TB
182,AirPods,AirPods 3,Amazon,127211,108134,15.0,4.6,11326,Low Stock,Big Billion Days,Refurbished,2025-11-30,Silver,24GB,1TB
183,AirPods,AirPods 3,Croma,143087,116978,18.25,4.3,2740,In Stock,Big Billion Days,Refurbished,2025-05-30,Titanium,16GB,256GB
184,AirPods,AirPods 3,Croma,171325,151137,11.78,4.6,19187,Out of Stock,Diwali Sale,New,2026-11-22,White,6GB,512GB
185,AirPods,AirPods 3,Croma,185619,149279,19.58,4.3,23675,In Stock,Great Indian Festival,New,2024-12-04,Purple,6GB,1TB
186,AirPods,AirPods 3,Reliance Digital,95843,87700,8.5,4.7,18893,In Stock,Republic Day Sale,Refurbished,2026-01-04,Green,4GB,512GB
187,AirPods,AirPods 3,Croma,63175,55417,12.28,4.1,12002,Out of Stock,Diwali Sale,New,2026-05-12,Silver,16GB,512GB
188,AirPods,AirPods 3,Amazon,157437,141007,10.44,4.5,17958,In Stock,Diwali Sale,Refurbished,2024-03-18,Blue,24GB,512GB
